No,food,makanan,kalori,lemak,karbohidrat,gula,protein,serat,kolesterol,natrium,air,vitamin_A,vitamin_B1,vitamin_B11,vitamin_B12,vitamin_B2,vitamin_B3,vitamin_B5,vitamin_B6,vitamin_C,vitamin_D,vitamin_E,vitamin_K,kalsium,zat_besi,magnesium,fosfor,kalium,zinc,kepadatan_nutrisi
928,cayenne pepper,cabe rawit,1,94,0.2,89,39,52,0,59,11,0,34,19,0,46,41,0,66,0.2,0,19,4,0.4,3,0.5,0.9,6,71,988
929,turmeric ground,kunyit bubuk,8,0.2,1.4,62,0.2,0.5,0,64,0.2,0,85,0.1,0,97,0.1,0,0.04,0.6,0,33,75,4,0.9,4.2,5.9,55.6,9,7.8
930,mustard,moster,3,0.2,0.3,48,0.2,0.2,0,15,4.2,96,26,6,97,0,11,0.04,13,15,0.03,0,86,12,86,96,75,5.4,64,1.046
931,chili powder,bubuk cabai,8,0.4,1.3,0.2,0.4,0.9,0,14,0.3,0,0,66,62,0,97,0.3,13,31,8,0,1,47,32,0.5,36,8.1,18,3.182
932,thyme dried,timi kering,276,7.4,63.9,1.7,9.1,37,0,16,7.8,0,0,0.5,0.3,0,0.4,4.9,0,0.6,50,0,7.5,1.7,0.9,123.6,7.9,201,68,120.6
933,spearmint dried,spearmint kering,1,18,0.3,0,94,0.1,0,12,29,0,0,7,87,0,9,0.04,44,92,0,0,0,0,21,0.4,8,1.4,0,649
934,basil dried,kemangi kering,2,27,0.3,54,0.2,0.3,0,89,76,0,0,99,43,0,12,0.07,11,47,33,0,34,78,82,0.6,51,1.9,54,1
935,dandelion greens cooked,daun dandelion yang sudah dimasak,35,0.6,6.7,1.7,2.1,3,0,0.3,94.3,0,0.1,63,0,0.2,0.5,58,0.2,18.9,0,0.6,0.4,147,1.9,25.2,44.1,243.6,0.3,180.2
936,basil fresh,kemangi segar,2,89,0.2,64,0.2,0.1,0,58,6.4,0,0,0.06,64,0,75,94,0.02,74,1.3,0,14,47,75,0.2,69,3.9,85,752
937,dock,dermaga,29,0.9,4.3,0,2.7,3.9,0,25,123.7,0,0,0,91,0,0.1,0.7,29,0.2,63.8,0,0,0,0.2,3.2,0.5,83.8,67,12.2
938,garden cress cooked,selada air taman yang dimasak,31,0.8,5.1,4.2,2.6,0.9,0,0.3,124.9,0,29,35,0,0.2,1.1,0.2,0.2,31.1,0,0.7,0.5,82.4,1.1,35.1,64.8,476.6,0.2,124
939,onion powder,bubuk bawang bombay,8,24,1.9,0.2,0.2,0.4,0,48,0.1,0,79,45,0,61,39,12,98,0.6,0,68,21,9.2,52,2.7,7.7,23.6,76,12.389
940,dandelion greens raw,daun dandelion mentah,25,0.4,5.1,0.4,1.5,1.9,0,43,47.1,0,0.1,59,0,0.1,0.4,95,0.1,19.3,0,1.9,0.4,102.9,1.7,19.8,36.3,218.4,0.2,132.8
941,yokan,yokan,36,22,8.5,0,0.5,0,0,0.05,5,0,0,69,0.03,0,96,48,66,25,0,0,0,0,48,0.2,89,5.6,25,9.059
942,fava beans cooked,kacang fava dimasak,187,0.7,33.4,3.1,12.9,9.2,0,81,121.6,0,0,0.2,0.2,0,0.2,1.2,0.3,0.1,0.5,0,46,67,0.4,2.6,0.7,212.5,58,56.778
943,french beans raw,kacang perancis mentah,631,3.7,118,0,34.6,46.4,0,69,19.8,0,1,0.7,0,0.4,3.8,1.5,0.7,8.5,0,0,0,342.2,6.3,345.9,559.4,2421.4,3.5,559.7
944,pink beans raw,kacang merah mentah,720,2.4,134.8,4.5,44,26.7,0,57,21.1,0,1.6,1,0,0.4,4,2.1,1.1,0,0,0.4,7,273,14.2,382.2,871.5,3074.4,5.4,495.1
945,navy beans raw,kacang navy mentah,701,3.1,126.4,8.1,46.4,50.8,0,59,25.2,0,1.6,0.8,0,0.3,4.6,1.5,0.9,0,0,0.08,18,305.8,11.4,364,846.6,2464.8,7.6,543.9
946,snap beans cooked,kacang buncis yang sudah dimasak,44,0.4,9.9,1.9,2.4,4,0,86,111.5,0,0,53,76,0,0.1,0.8,21,61,12.1,0,0.6,53,15,0.8,0.4,36.3,0.02,16.848
947,black eyed cowpeas raw,kacang polong hitam mentah,131,0.5,27.3,4.4,4.3,7.3,0,48,111.9,0,0.2,0.2,0,0.2,2.1,0.2,86,3.6,0,0,0,182.7,1.6,74,76.9,625,1.5,227.3
948,pinto beans raw,kacang pinto mentah,670,2.4,120.7,4.1,41.3,29.9,0,36,21.9,0,1.4,1,0,0.4,2.3,1.5,0.9,12.2,0,0.4,62,218.1,9.8,339.7,793.2,2688.5,4.4,434.4
949,black turtle beans raw,kacang hitam mentah,624,1.7,116.4,3.9,39.1,28.5,0,41,20.2,0,1.7,0.8,0,0.4,3.6,1.7,0.5,0,0,0.4,32,294.4,16,294.4,809.6,2760,4,496.1
950,fava beans raw,kacang fava mentah,512,2.3,87.4,8.6,39.2,37.5,0,0.1,16.5,0,0.8,0.6,0,0.5,4.2,1.5,0.5,2.1,0,57,73,154.5,10.1,288,631.5,1593,4.7,333.1
951,hyacinth beans raw,kacang eceng gondok mentah,722,3.5,127.6,0,50.2,53.8,0,73,19.7,0,2.4,8,0,0.3,3.4,2.6,0.3,0,0,0,0,273,10.7,594.3,781.2,2593.5,19.5,518.8
952,white beans raw,kacang putih mentah,673,1.7,121.7,4.3,47.2,30.7,0,51,22.9,0,0.9,0.8,0,0.3,1,1.5,0.6,0,0,0.4,0.03,484.8,21.1,383.8,608,3625.9,7.4,707.2
953,mung beans raw,kacang hijau mentah,718,2.4,129.6,13.7,49.4,33.7,0,85,18.7,0,1.3,1.3,0,0.5,4.7,4,0.8,9.9,0,1.1,9,273.2,14,391.2,759.7,2579.2,5.5,512.2
954,adzuki beans raw,kacang adzuki mentah,648,1,123.9,0,39.1,25,0,0.06,26.5,0,0.9,1.2,0,0.4,5.2,2.9,0.7,0,0,0,0,130,9.8,250.2,750.6,2470.4,9.9,328.8
955,pink lentils raw,kacang lentil merah muda mentah,662,4.2,113.6,0,47.9,20.7,0,92,22.6,0,1,0.4,0,0.2,2.9,0.7,0.8,3.3,0,0,0,78.7,14.5,138.2,564.5,1109.8,7.5,282.9
956,yellow beans raw,kacang kuning mentah,676,5.1,119,0,43.1,49.2,0,46,21.8,0,1.4,0.8,0,0.6,4.8,1.4,0.9,0,0,0,0,325.4,13.7,435.1,956.5,2042.3,5.5,555.5
957,lentils raw,kacang lentil mentah,678,2,115.4,3.9,49.5,58.6,0,39,20,0,1.7,0.9,0,0.4,5,4.1,1,8.4,0,0.9,83,107.5,14.5,234.2,865.9,1833.6,9.2,355.9
958,cranberry beans cooked,kacang cranberry dimasak,241,0.8,43.3,0,16.5,17.7,0,0.4,114.4,0,0,0.4,0.4,0,0.1,0.9,0.4,0.1,0,0,0,0,0.4,3.7,0.7,239,0.09,78.8
959,chickpeas raw,buncis mentah,728,12.1,121.3,21.4,38.6,34.8,0,5,23.1,0,1,1.1,0,0.4,3.1,3.2,1.1,8,0,1.6,4,210,12.5,230,732,1750,6.9,437.3
960,lentils cooked,kacang lentil yang dimasak,230,0.8,39.9,3.6,17.9,15.6,0,16,137.9,0,0,0.3,0.4,0,0.1,2.1,1.3,0.4,3,0,0.2,77,0.5,6.6,1,356.4,0.01,75.118
961,baked beans canned,kacang panggang kalengan,239,0.9,53.7,20.2,12.1,10.4,0,0.9,182.9,0,0.2,36,0,78,1.1,0.5,0.2,0,0,0.4,19,86.4,3,68.6,188,569,5.8,166.5
962,cranberry beans canned,kacang cranberry kalengan,216,0.7,39.3,0,14.4,16.4,0,0.9,201.7,0,0.1,0.2,0,0.1,1.3,0.4,0.1,2.1,0,0,0,88.4,4,83.2,223.6,676,2.2,165.3
963,black beans cooked,kacang hitam dimasak,227,0.9,40.8,0,15.2,15,0,8,113.1,0,0.4,0.3,0,0.1,0.9,0.4,0.1,0,0,1.5,81,46.4,3.6,120.4,240.8,610.6,1.9,121.9
964,lima beans cooked,kacang lima dimasak,216,0.7,39.3,5.5,14.7,13.2,0,12,131.2,0,0,0.3,0.2,0,0.1,0.8,0.8,0.3,0,0,0.3,52,0.4,4.5,1,208.7,27,68.6
965,mungo beans raw,kacang hijau mentah,706,3.4,122.1,0,52.2,37.9,0,4,22.4,0,0.6,0.4,0,0.5,3,1.9,0.6,0,0,0,0,285.7,15.7,552.7,784.5,2034.8,6.9,517
966,pigeon peas raw,kacang polong merpati mentah,703,3.1,128.7,0,44.5,30.8,0,0.04,21.7,0,1.3,0.9,0,0.4,6.1,2.6,0.6,0,0,0,0,266.5,10.7,375.2,752.4,2853.6,5.7,484.3
967,fava beans canned,kacang fava kalengan,182,0.6,31.8,0,14,9.5,0,1.2,205.6,0,16,0.05,0,0.1,2.5,0.3,0.1,4.6,0,0,0,66.6,2.6,81.9,202.2,619.5,1.6,129.7
968,yellow snap beans raw,kacang buncis kuning mentah,31,0.1,7.1,0,1.8,3.4,0,85,90.3,0,5,2,0,0.1,0.8,74,0.05,16.3,0,0,0,37,1,25,38,209,0.2,66.7
969,snap beans raw,kacang buncis mentah,31,0.2,7,3.3,1.8,2.7,0,25,90.3,0,0.02,61,0,0.1,0.7,0.2,0.1,12.2,0,0.4,66,37,1,25,38,211,0.2,61.9
970,yellow snap beans canned,kacang buncis kuning kalengan,36,0.2,8.4,0,1.9,3.6,0,0.6,227.2,0,97,71,0,0.1,0.5,0.3,87,8.2,0,0,0,57.6,2.2,31.2,45.6,235.2,0.5,82.1
971,pigeon peas cooked,kacang polong merpati dimasak,203,0.6,39.1,0,11.4,11.3,0,36,115.2,0,0.2,0.2,0,0.02,1.3,0.5,81,0,0,0,0,72.2,1.9,77.3,199.9,645.1,1.5,136.5
972,catjang cowpeas raw,kacang tunggak catjang mentah,573,3.5,99.6,0,39.8,17.9,0,0.07,18.5,0,1.1,1.1,0,0.3,4.7,2.5,0.6,2.5,0,0,0,142,16.6,556.1,731.5,2296.3,10.2,321.9
973,navy beans cooked,kacang navy dimasak,255,1.1,47.4,0.7,15,19.1,0,0.4,116.1,0,0.4,0.3,0,0.1,1.2,0.5,0.3,0,0,0.08,2,125.6,4.3,96.5,262.1,708,1.9,212.5
974,mothbeans raw,kacang ngengat mentah,672,3.2,120.6,0,45,0,0,1,19,0,1.1,1.3,0,0.2,5.5,3,0.7,7.8,0,0,0,294,21.3,746.8,958.4,2334.4,3.8,491.9
975,cowpeas cooked,kacang tunggak dimasak,81,0.4,14.5,2.3,5.4,4.6,0,37,49,0,0,0.1,0.1,0,15,0.3,0.3,25,0.3,0,0.2,33,0.2,1.8,0.3,109.2,12,25.166
976,mothbeans cooked,kacang panjang yang sudah dimasak,207,1,37.1,0,13.8,0,0,86,122.5,0,0.2,0.3,0,88,1.2,0.7,0.2,1.8,0,0,0,5.3,5.6,184.1,265.5,538.1,1,64.6
977,french beans cooked,kacang perancis yang dimasak,228,1.3,42.5,0,12.5,16.6,0,3,117.8,0,0,0.2,0.1,0,0.1,1,0.4,0.2,2.1,0,0,0,0.2,1.9,0.7,180.5,41,73.3
978,lima beans raw,kacang lima mentah,602,1.2,112.8,15.1,38.2,33.8,0,78,18.1,0,0.9,0.7,0,0.4,2.7,2.4,0.9,0,0,1.3,58,144.2,13.4,398.7,685.3,3068.7,5,343.6
979,winged beans raw,kacang bersayap mentah,744,29.7,75.9,0,54,47.1,0,0.09,15.2,0,1.9,84,0,0.8,5.6,1.4,0.3,0,0,0,0,800.8,24.5,325.8,820.8,1778.1,8.2,1.032
980,adzuki beans cooked,kacang adzuki dimasak,294,0.2,57,0,17.3,16.8,0,79,152.5,0,0,0.3,0.3,0,0.1,1.6,1,0.2,0,0,0,0,0.7,4.6,1.3,386.4,22,92.2
981,black beans raw,kacang hitam mentah,662,2.8,121,4.1,41.9,30.1,0,65,21.4,0,1.7,0.9,0,0.4,3.8,1.7,0.6,0,0,0.4,26,238.6,9.7,331.7,682.9,2877,7.1,444.1
982,catjang cowpeas cooked,kacang tunggak catjang yang sudah dimasak,200,1.2,34.7,0,13.9,6.2,0,21,119.2,0,0,0.3,0.2,0,55,1.2,0.7,0.2,0.7,0,0,0,0.5,5.2,0.8,242.8,45,56.7
983,baby lima beans cooked,kacang lima bayi dimasak,189,0.5,35,2.5,12,10.8,0,64,130.2,0,0,0.1,3,0,97,1.4,0.3,0.2,10.4,0,1.2,0.06,0.4,3.5,1.5,201.6,79,58.952
984,cowpeas raw,kacang tunggak mentah,41,0.3,8.9,4.7,3.1,3.1,0,26,80.8,0,0.1,87,0,0.1,1.1,0.9,0.2,31,0,0.5,25,61.1,0.9,54.5,61.1,202.1,0.3,108.4
985,shellie beans canned,kacang shellie kalengan,74,0.5,15.2,1.5,4.3,8.3,0,0.8,222.2,0,0,0.06,8,0,0.1,0.5,0.3,0.1,7.6,0,48,51,0.2,2.4,0.9,73.5,94,28.668
986,yardlong beans raw,kacang panjang mentah,579,2.2,103.4,0,40.6,18.4,0,57,14.1,0,1.5,1.1,0,0.4,3.6,2.6,0.6,2.7,0,0,0,230.5,14.4,564.5,933.5,1932.2,5.8,412.2
987,pinto beans canned,kacang pinto kalengan,197,1.3,36.4,2.4,11,11,0,0.6,187.7,0,0.1,0.03,0,63,0.6,0.3,0.2,1.7,0,1.4,0.09,112.8,3.5,79.2,220.8,662.4,1.3,177.7
988,chickpeas cooked,buncis dimasak,269,4.2,45,7.9,14.5,12.5,0,0.08,98.7,0,0.2,0.3,0,0.1,0.9,0.5,0.2,2.1,0,0.6,24,80.4,4.7,78.7,275.5,477.2,2.5,163.4
989,cranberry beans raw,kacang cranberry mentah,653,2.4,117.1,0,44.9,48.2,0,14,24.2,0,1.5,1.2,0,0.4,2.8,1.5,0.6,0,0,0,0,247.7,9.8,304.2,725.4,2597.4,7.1,470.1
990,mungo beans cooked,kacang hijau yang dimasak,189,1,33,3.6,13.6,11.5,0,83,130.5,0,0.3,0.2,0,0.1,2.7,0.8,0.1,1.8,0,0.3,92,95.4,3.2,113.4,280.8,415.8,1.5,159.5
991,tamarinds,asam jawa,5,13,1.3,0.8,57,0.1,0,7,0.6,0,0,84,62,0,12,0.04,78,58,0.09,0,53,0.03,32,5,0,2.3,9,1.708
992,yellow snap beans cooked,kacang buncis kuning yang sudah dimasak,44,0.4,9.9,4.5,2.4,4.1,0,96,111.5,0,0,94,63,0,0.1,0.8,83,62,12.1,0,0.6,25,0.1,1.6,0.4,48.8,37,17.003
993,yardlong beans cooked,kacang panjang dimasak,202,0.8,36.1,0,14.2,6.5,0,59,117.6,0,0,0.4,0.2,0,0.1,0.9,0.7,0.2,0.7,0,0,0,0.4,4.5,0.8,309.5,12,58.2
994,bacon beef steak,daging sapi panggang bacon,146,12.5,0.2,0.2,8.2,0,28.9,0.4,6.1,0,0.2,77,54,0.09,1.4,0.3,0.1,0,0,0,91,4,0.5,4.8,40.2,109,0.9,25.4
995,lamb foreshank raw,tulang kering domba mentah,912,60.7,0,0,85.8,0,326.6,0.3,304,0,0.5,14,13,0.9,24.8,3.1,0.7,0,0,1.1,0,49.9,7.6,99.8,771.1,970.7,23.7,204
996,bacon,daging babi asap,106,10.2,0.2,0.2,3.3,0,0,0.1,11.7,0,0,0,69,0,0,0,0,0,0,0.1,0,1,0.1,3.1,46.8,131.6,0.3,14.8
997,lamb rib cooked,iga domba dimasak,915,76,0,0,53.9,0,247.4,0.2,122.1,0,0.2,84,82,0.5,17.2,1.6,0.3,0,0,0.3,0,56.1,4.1,51,423.3,691.1,8.9,190.1
998,lamb shank raw,betis domba mentah,912,61.2,0,0,84.3,0,303.9,0.3,304.7,0,0.6,33,2,1,28.2,3.1,0.7,0,0,1,0,36.3,7.8,108.9,807.4,1183.9,15.9,189.6
999,scrapple,potongan kecil,60,3.9,4,63,2.3,52,13.9,0.1,17.7,0.2,91,32,11,49,0.6,0,0.03,0.7,75,39,57,2,0.5,3.7,21.5,44.7,0.3,13.63
1000,chicken nuggets,nugget ayam,61,4.1,3,39,3.2,0.2,8.6,0.1,9.3,15,11,41,64,49,54,1.2,0.2,95,0.1,0.01,0.2,58,91,0.2,23,54.4,9,10.792
1001,ground lamb cooked,daging domba giling yang dimasak,886,61.5,0,0,77.5,0,303.6,0.3,172.4,0,0.3,62,64,0.8,21,2.1,0.4,0,79,0.4,3,68.9,5.6,75.1,629.1,1061.1,14.6,213.5
1002,lamb meat cooked,daging domba yang dimasak,678,45,0,0,63.8,0,240,0.2,139.6,0,0.3,13,68,0.7,16.4,1.7,0.4,0,0,0,0,40,4.8,60,482.5,795,11.9,153.6
1003,meat extender,pemanjang daging,275,2.6,33.7,0,33.5,15.4,0,41,6.6,0,0.6,0.2,65,0.8,19.4,1.3,1.2,0,0,0,0,179.5,10.6,190.1,562.3,1673.8,1.9,275.3
1004,lamb leg raw,kaki domba mentah,1043,77.4,0,0,81.2,0,313,0.3,291.8,0,0.6,55,42,1,28.4,3.1,0.7,0,0,1,0,40.8,7.5,104.3,771.1,1129.5,15.1,206.9
1005,lamb loin cooked,daging domba panggang,202,14.8,0,0,16.1,0,64,89,33,0,34,3,14,0.2,4.5,0.4,13,0,24,87,62,12.8,1.2,15.4,125.4,209.3,2.2,44.9
1006,chicken patty,roti ayam,172,11.7,7.7,0,8.9,0.2,25.8,0.3,30.5,0,67,63,72,42,2.9,0.7,0.1,0,0,0.8,82,11.4,0.6,14.4,124.8,156.6,0.6,40.5
1007,lamb shank roasted,betis domba panggang,605,33.5,0,0,71,0,242.1,0.2,163.2,0,0.3,85,51,0.7,17.6,1.9,0.4,0,0,0.4,0,26.9,5.3,67.3,532.6,876.9,12.5,136.7
1008,barbecue loaf,roti panggang,40,2,1.5,0,3.6,0,8.5,0.3,14.9,0,42,38,39,86,0.5,0.4,0.07,0,99,0,0,12.7,0.3,3.9,30.4,75.7,0.6,20.1
1009,lamb sirloin cooked,daging domba panggang,765,54.2,0,0,64.5,0,254.1,0.2,141.8,0,0.3,86,86,0.7,17.3,1.8,0.4,0,0,0.3,0,28.8,5.2,57.6,479.5,788.6,10.8,152.7
1010,poultry salad,salad unggas,26,1.8,1,0,1.5,0,3.9,79,8.6,84,66,93,37,81,0.2,11,9,0.1,63,0.3,0,1.3,97,1.3,4.3,23.8,0.1,5.781
1011,ground lamb raw,daging domba giling mentah,80,6.6,0,0,4.7,0,20.7,0.05,16.8,0,21,12,0.01,55,1.7,0.2,22,0,28,44,0.06,4.5,0.4,5.9,44.4,62.8,1,16.2
1012,lamb loin raw,daging domba mentah,88,7.5,0,0,4.6,0,20.9,3,16,0,88,3,65,61,1.8,0.2,74,0,0,42,0,4.2,0.5,5.9,43,60.6,0.7,16.8
1013,lamb sirloin raw,daging domba sirloin mentah,1234,100.3,0,0,76.8,0,326.6,0.3,273.5,0,0.5,27,72,1,28.8,3.2,0.6,0,0,1,0,45.4,7.3,99.8,721.2,1047.8,14,229.8
1014,ham salad,Salad daging ham,97,7,4.8,0,3.9,0,16.7,0.5,28.2,0,0.2,84,39,6,0.9,0.1,47,0,12,0.8,0,3.6,0.3,4.5,54,67.5,0.5,19.6
1015,lamb rib raw,iga domba mentah,1687,156,0,0,65.9,0,344.7,0.3,230.4,0,0.5,44,9,0.9,27.6,2.8,0.5,0,0,0.8,0,68,6.3,81.6,621.4,861.8,12.3,296.2
1016,lamb shoulder raw,bahu domba mentah,1198,97.3,0,0,75.2,0,326.6,0.3,278.5,0,0.5,35,0.07,1,25.7,3.1,0.6,0,15,1,41,72.6,6.8,95.3,716.7,1043.3,17.9,251.9
1017,lamb meat raw,daging domba mentah,1102,84.6,0,0,79.6,0,317.5,0.3,286.5,0,0.5,16,21,1,27.5,3.1,0.6,0,0,0,0,54.4,7.3,99.8,753,1084.1,16,225.9
1018,beef stick,daging sapi panggang,110,9.9,1.1,0,4.3,0,26.6,0.3,3.8,0,71,0,2,63,0.9,16,24,1.4,0,0,0,13.6,0.7,4.2,36,51.4,0.5,31
1019,veal sirloin raw,daging sapi muda sirloin mentah,689,35.4,0,0,86.5,0,353.8,0.3,325.9,0,0.4,16,4,1.4,38.3,6.2,2.2,0,0,1.1,93,49.9,3.5,108.9,948,1492.3,11.6,175.3
1020,mock tender steak raw,steak tiruan empuk mentah,244,8.3,0,0,42.2,0,132.7,0.2,145.9,69,0.2,85,11,0.4,7.1,1.7,0.8,0,55,0.4,99,21.8,4.8,49.5,445.5,685.1,15.8,77.128
1021,ground beef raw,daging sapi giling mentah,1506,136.1,0,0,65.1,0,353.8,0.3,246.7,0,0.2,71,4,0.6,15.3,1.9,1.3,0,0,2.2,4,108.9,7.4,63.5,598.8,988.8,16.2,317.5
1022,veal rib raw,iga sapi muda mentah,735,40.9,0,0,85.5,0,372,0.4,322.7,0,0.3,82,85,1,30.3,5.1,1.9,0,0,1,0,59,3.9,99.8,834.6,1315.4,14.7,189.3
1023,ground veal raw,daging sapi giling mentah,41,1.9,0,0,5.5,0,23.2,29,20.6,0,93,5,45,95,2.1,0.4,0.1,0,0,86,0,4.2,0.2,6.8,57.4,89.1,0.9,11.8
1024,veal leg round raw,paha sapi bulat mentah,531,14,0,0,95.2,0,353.8,0.3,339.3,0,0.4,64,19,1.2,42.7,4.9,2.1,0,0,1.4,0.03,22.7,3.6,117.9,997.9,1664.7,10.4,135.5
1025,beef top sirloin steak raw,steak sirloin daging sapi mentah,1222,77.3,0,0,123.4,0,456,0.3,401.8,0,0.4,16,1,0.6,36.4,3.6,3.4,0,0,2.2,66,145.9,9,127.7,1137,1915.2,21.6,355.6
1026,porterhouse steak raw,steak porterhouse mentah,1170,91.1,0,0,81.6,0,308.4,0.2,273.1,0,0.5,95,0.02,0.8,15.9,1.4,1.7,0,0,0,0,27.2,8.8,86.2,762,1338.1,14.3,208.7
1027,veal shank raw,betis sapi muda mentah,513,15.8,0,0,86.9,0,340.2,0.4,348.9,0,0.4,75,35,1.2,33.8,5.9,2,0,0,0,0,90.7,3.4,95.3,866.4,1424.3,18.1,196.8
1028,veal shoulder raw,daging sapi muda mentah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,t bone steak raw,steak tulang T mentah,1052,76.3,0,0,85.7,0,281.2,0.2,282.5,0,0.5,7,38,0.8,16.4,1.4,1.7,0,0,0,0,27.2,9.5,90.7,784.7,1397.1,14.7,198.7
1030,chuck blade roast raw,daging panggang chuck blade mentah,1125,88,0,0,77.8,0,322.1,0.3,277.7,0,0.5,0.04,28,0.8,9.9,1.3,1.6,0,0,0,0,45.4,9.3,77.1,734.8,1229.3,22.6,220.5
1031,beef shoulder steak raw,daging sapi panggang mentah,349,17.3,0,0,48.2,0,164.9,0.2,171.8,14,0.2,82,21,0.6,9.2,2.2,1,0,17,0.4,0.06,28.7,6,45.4,480.4,800.7,18,100.218
1032,beef top blade cooked,daging sapi bagian atas dimasak,184,10,0,0,21.9,0,51.9,2,52.3,0,0.1,16,95,0.2,3.2,0.8,0.3,0,0,0.1,0,6,2.3,20.4,181.9,254.2,7.4,40.2
1033,corned beef cooked,daging kornet dimasak,53,4,6,0,3.8,0,20.6,0.2,12.6,0,48,94,66,27,0.6,82,34,0,15,22,96,1.7,0.4,2.5,26.3,30.5,1,9.905
1034,beef round steak raw,daging sapi bulat steak mentah,753,36,0,0,100.1,0,313,0.3,313.2,0,0.4,79,67,0.6,29.9,2.9,3,0,0,1.5,79,95.3,8.4,108.9,961.6,1583.1,18.5,239.8
1035,beef shoulder steak grilled,daging sapi panggang,155,5.8,0,0,24,0,68.9,14,54.4,63,83,43,55,0.2,4.7,0.7,0.6,0,12,72,67,10.2,2.5,21.3,208.3,311.1,6.8,42.589
1036,chuck eye steak raw,steak mata sapi mentah,856,62.8,0,0,72.4,0,261.1,0.3,247.6,95,0.3,17,0.03,0.6,16.7,2.5,1.4,0,47,0.6,77,53.8,8.1,73,687.4,1263.4,27.9,197.159
1037,beef bottom round steak cooked,daging sapi bagian bawah steak dimasak,980,35.1,0,0,155.8,0,426.4,0.2,261,0,0.4,45,14,0.9,28,3.1,2.1,0,75,2,91,31.8,13,104.3,984.3,1279.2,26.8,235.7
1038,porterhouse steak cooked,steak porterhouse dimasak,235,16.4,0,0,20.4,0,57,85,46.5,0,99,69,24,0.2,3.6,0.3,0.3,0,0,0.2,0,6,2.5,18.7,164.1,254.2,3.9,45.3
1039,beef under blade steak raw,daging sapi steak bawah pisau mentah,1235,80.8,0,0,126.8,0,431,0.3,241.6,57,0.3,61,91,1,16.9,3.3,1.4,0,93,0.4,76,62.9,12.6,89.8,812.7,1225.8,42.9,283.198
1040,beef plate steak raw,steak daging sapi mentah,617,46.8,0.9,0,47.8,0,188.9,0.2,168,71,0.3,89,58,1.5,10.9,3,1,0,8,0.4,16,16,9.1,50.5,377.7,643.7,12.6,120.656
1041,beef breakfast strips raw,potongan daging sapi mentah untuk sarapan,92,8.8,0.2,0,2.8,0,18.5,0.2,10.2,0,68,67,27,74,0.7,78,78,5.4,0,0,0,0.9,0.3,2.5,22.6,34.6,0.5,18.4
1042,corned beef raw,kornet sapi mentah,898,67.6,0.6,0,66.6,0,244.9,5.5,301.9,0,0.2,7,6,0.7,16.6,2.6,1.3,122.5,0,0,0,31.8,7.7,63.5,530.7,1347.2,12.9,296.8
1043,beef mince meat asda,daging sapi cincang asda,55,3.1,6.8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9
1044,pastrami beef fat free,pastrami daging sapi tanpa lemak,9,0.1,0.1,0,1.9,0,4.5,5,7.1,0,0.04,76,51,43,0.5,73,79,3.3,0,0,0,0.9,0.3,1.7,14.3,21.7,0.4,6.6
1045,rib eye steak raw,steak iga mentah,743,54.5,0.4,0,62.8,0,221.7,0.2,205.4,87,0.3,25,39,0.8,15.6,0,1.3,0,88,0,76,26.1,5.9,65.2,446.6,802,16.2,149.722
1046,veal meat raw,daging sapi muda mentah,653,30.7,0,0,87.8,0,372,0.4,330.4,0,0.4,97,61,1.2,34,5.9,1.9,0,0,1.2,0,68,3.8,108.9,920.8,1428.8,13.9,190.3
1047,veal loin raw,daging sapi muda mentah,46,2.6,0,0,5.3,0,22.4,79,19.9,0,25,33,72,91,2.4,0.4,0.1,0,0,0.02,94,4.5,0.2,6.5,56.3,86,0.7,12.6
1048,beef tenderloin steak raw,daging sapi tenderloin steak mentah,405,29.8,0,0,32.2,0,139.4,32,100.9,0,0.1,87,98,0.2,9.5,0.9,0.9,0,0,0.7,56,37.7,2.3,32.8,295.2,495.3,5.6,102
1049,beef brisket raw,daging sapi brisket mentah,1139,86.5,0,0,83.6,0,308.4,0.3,277.1,0,0.4,36,16,0.7,15.8,1.4,1.7,0,0,0,0,27.2,7.7,86.2,802.9,1279.2,16.8,205
1050,pastrami beef,daging sapi pastrami,104,4.1,0.3,0.08,15.5,0,48.3,0.8,49.4,0,84,31,72,0.1,3,0.2,0.2,0.2,0.09,85,38,7.1,1.6,12.1,124.3,149.1,3.5,28.8
1051,beef flank steak raw,steak daging sapi mentah,47,2.3,0,0,6,0,19.2,54,19.7,0,82,0.05,46,0.07,1.9,0.2,0.2,0,97,34,72,7.6,0.4,6.2,54.6,93.4,1.1,16.3
1052,veal breast raw,dada sapi muda mentah,943,66.9,0,0,79.2,0,322.1,0.3,307,0,0,0,0,0,0,0,0,0,0,0,0,31.8,2.4,81.6,780.2,1297.3,10.6,180.3
1053,beef rib raw,iga sapi mentah,1433,123.8,0,0,73.8,0,322.1,0.2,247.3,0,0.4,17,61,0.6,11.8,1.5,1.3,0,0,0,0,36.3,7.8,72.6,694,1179.4,17,241.7
1054,beef jerky,dendeng sapi,82,5.1,2.2,1.8,6.6,0.4,9.6,0.4,4.7,0,59,93,61,84,0.3,45,48,0,22,18,81,4,1.1,10.2,81.4,119.4,1.6,19.4
